Name,Drive_Type,Mileage_mpg,Fuel_Type,Capacity_gal,Length_inches,Wheel_Base_inches,Width_inches,Turning_Circle_feet,Weight_lbs,Door_Top_inches,Luggage_cu_ft,Front_Shoulder_inches,Front_Leg_Room_inches,Front_Head_Room_inches,Rear_Shoulder_inches,Rear_Leg_Room_inches,Rear_Head_Room_inches
Jeep Cherokee,Rear,16,Regular,20,168,101,68,38,3540,58.5,36.5,54.5,40.5,3.5,54.5,26,4
Jeep Grand Cherokee,Rear,15,Regular,20.5,182,106,72,40,4190,60.5,37,58,40,3.5,57,27,2.5
Kia Sportage,Rear,19,Regular,15.8,170,104,68,37,3365,60.5,30,53.5,40,4,54,25,3
Lexus GS300/GS400,Rear,23,Premium,19.8,189,110,71,39,3745,51,15,58,42.5,2.5,56,29,2
Lincoln LS,Rear,23,Premium,18.1,194,115,73,39,3655,50,14,58,41,4.5,57,29,3
Lincoln Town Car,Rear,19,Premium,19,215,118,78,45,4050,51.5,21,61,42.5,5,60,32,3.5
Mercedes-Benz C-Class,Rear,24,Premium,16.4,177,106,68,35,3320,51,13,55,43,3,54,27.5,3
Mercedes-Benz E-Class,Rear,21,Premium,21.1,190,112,71,37,3930,53,15,56.5,42,4.5,56,28,3.5
Mercury Grand Marquis,Rear,19,Regular,19,212,115,78,44,3985,52,21,61,42,5,60,29.5,4
Mercury Mountaineer,Rear,16,Regular,20.8,190,112,70,41,4440,61.5,50.5,56,41.5,3,56.5,29,5
Suzuki Vitara,Rear,19,Regular,17.4,165,98,70,37,3230,60.5,28,53,39,4.5,52.5,24,4.5
Chevrolet Tracker,Rear,21,Regular,17.4,163,98,67,37,3055,60,28,53,39,4.5,52.5,24,4.5
Ford Expedition,Rear,13,Regular,30,205,119,79,42,5290,69.5,70,63.5,42,5.5,63.5,33.5,5.5
Isuzu Rodeo,Rear,18,Regular,21.1,177,106,70,41,3935,60,39.5,56,41,4,56,30,3.5
Lincoln Navigator,Rear,13,Regular,30,205,119,80,44,5850,68,67,63.5,41.5,6,63.5,32,5.5
